"Table 5.--Returns with Positive Adjusted Gross Income (AGI):
Number of Returns, Shares of AGI and Total Income Tax,
AGI Floor on Percentiles in Current and Constant Dollars, and
Average Tax Rates, by Selected Descending Cumulative Percentiles
of Returns Based on Income Size Using the Definition of AGI for Each
Year, Tax Years 1986-2009",,,,,,,
[All figures are estimates based on samples],,,,,,,
"Item, tax year",Total,,Descending cumulative percentiles,,,,
,,"Top
0.1 percent","Top
1 percent","Top
5 percent","Top
10 percent","Top
25 percent","Top
50 percent"
,,,,,,,
,(1),(2),(3),(4),(5),(6),(7)
Number of returns: [1],,,,,,,
    1986,"102,087,623","102,088","1,020,876","5,104,381","10,208,762","25,521,906","51,043,811"
    1987,"106,154,761","106,155","1,061,548","5,307,738","10,615,476","26,538,690","53,077,380"
    1988,"108,872,859","108,873","1,088,729","5,443,643","10,887,286","27,218,214","54,436,429"
    1989,"111,312,721","111,313","1,113,127","5,565,636","11,131,272","27,828,181","55,656,361"
    1990,"112,812,262","112,812","1,128,123","5,640,613","11,281,226","28,203,066","56,406,132"
    1991,"113,804,104","113,804","1,138,041","5,690,205","11,380,410","28,451,026","56,902,052"
    1992,"112,652,759","112,653","1,126,528","5,632,638","11,265,276","28,163,190","56,326,380"
    1993,"113,681,387","113,681","1,136,814","5,684,069","11,368,139","28,420,347","56,840,694"
    1994,"114,989,920","114,990","1,149,899","5,749,496","11,498,992","28,747,480","57,494,960"
    1995,"117,274,186","117,274","1,172,742","5,863,709","11,727,419","29,318,546","58,637,093",,,,,,,,,,,,,,,,,,,,,,,,,,
    1996,"119,441,767","119,442","1,194,418","5,972,088","11,944,177","29,860,442","59,720,884",,,,,,,,,,,,,,,,,,,,,,,,,,
    1997,"121,503,284","121,503","1,215,033","6,075,164","12,150,328","30,375,821","60,751,642",,,,,,,,,,,,,,,,,,,,,,,,,,
    1998,"123,775,831","123,776","1,237,758","6,188,792","12,377,583","30,943,958","61,887,915",,,,,,,,,,,,,,,,,,,,,,,,,,
    1999,"126,008,974","126,009","1,260,090","6,300,449","12,600,897","31,502,244","63,004,487",,,,,,,,,,,,,,,,,,,,,,,,,,
    2000,"128,227,143","128,227","1,282,271","6,411,357","12,822,714","32,056,786","64,113,572",,,,,,,,,,,,,,,,,,,,,,,,,,
    2001,"128,817,051","128,817","1,288,171","6,440,853","12,881,705","32,204,263","64,408,526",,,,,,,,,,,,,,,,,,,,,,,,,,
    2002,"128,323,986","128,324","1,283,240","6,416,199","12,832,399","32,080,997","64,161,993",,,,,,,,,,,,,,,,,,,,,,,,,,
    2003,"128,609,786","128,610","1,286,098","6,430,489","12,860,979","32,152,447","64,304,893",,,,,,,,,,,,,,,,,,,,,,,,,,
    2004,"130,371,156","130,371","1,303,712","6,518,558","13,037,116","32,592,789","65,185,578",,,,,,,,,,,,,,,,,,,,,,,,,,
    2005,"132,611,637","132,612","1,326,116","6,630,582","13,261,164","33,152,909","66,305,819",,,,,,,,,,,,,,,,,,,,,,,,,,
    2006,"135,719,160","135,719","1,357,192","6,785,958","13,571,916","33,929,790","67,859,580",,,,,,,,,,,,,,,,,,,,,,,,,,
    2007,"[2] 141,070,971","141,071","1,410,710","7,053,549","14,107,097","35,267,743","70,535,486",,,,,,,,,,,,,,,,,,,,,,,,,,
    2008,"139,960,580","139,961","1,399,606","6,998,029","13,996,058","34,990,145","69,980,290",,,,,,,,,,,,,,,,,,,,,,,,,,
