# Adjusted gross income floor on percentiles (constant dollars)
"Tax Year","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent"
    1986,N/A,[6],"108,411","56,913","44,394","29,418","15,786"
    1987,N/A,[6],"122,614","60,224","46,585","29,915","15,641"
    1988,N/A,[6],"132,828","61,484","46,861","29,922","15,526"
    1989,N/A,[6],"132,152","62,043","46,986","29,709","15,317"
    1990,N/A,[6],"128,096","60,493","46,126","29,135","15,124"
    1991,N/A,[6],"124,919","60,000","45,480","28,582","14,756"
    1992,N/A,[6],"129,654","60,658","45,942","28,780","14,828"
    1993,N/A,[6],"128,522","60,475","45,728","28,519","14,657"
    1994,N/A,[6],"132,069","61,556","46,392","28,841","14,711"
    1995,N/A,[6],"137,406","63,137","47,306","29,007","14,661"
    1996,N/A,[6],"145,026","64,462","47,792","29,163","14,769"
    1997,N/A,[6],"156,222","67,320","49,353","30,014","15,198"
    1998,N/A,[6],"164,427","69,999","50,775","30,877","15,553"
    1999,N/A,[6],"176,119","72,537","52,630","31,792","15,855"
    2000,N/A,[6],"182,038","74,527","53,510","32,070","16,075"
    2001,N/A,"747,875","165,394","72,221","52,374","31,669","16,108"
    2002,N/A,"662,409","158,657","70,331","51,508","31,351","15,928"
    2003,N/A,"686,283","160,595","70,696","51,571","31,165","15,771"
    2004,N/A,"819,979","173,663","72,555","52,468","31,785","15,946"
    2005,N/A,"946,642","186,716","74,390","53,206","31,781","15,812"
    2006,N/A,"1,014,231","192,860","76,162","54,020","32,094","15,867"
    2007,N/A,"1,039,732","197,827","77,203","54,519","32,095","15,861"
    2008,N/A,"837,708","176,662","74,138","52,856","31,249","15,350"
    2009,N/A,"667,899","160,311","72,082","52,263","30,854","15,100"
# Adjusted gross income (millions of dollars)
"Tax Year","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent"
    1986,"2,524,124",[6],"285,197","608,467","886,510","1,490,173","2,103,569"
    1987,"2,813,728",[6],"346,635","722,221","1,038,221","1,709,389","2,373,869"
    1988,"3,124,156",[6],"473,527","890,702","1,232,536","1,950,860","2,657,865"
    1989,"3,298,858",[6],"468,079","918,421","1,286,539","2,054,478","2,805,235"
    1990,"3,451,237",[6],"483,252","953,337","1,338,032","2,144,177","2,932,537"
    1991,"3,516,142",[6],"456,603","943,350","1,343,202","2,174,765","2,984,003"
    1992,"3,680,552",[6],"523,586","1,031,093","1,443,784","2,299,401","3,131,400"
    1993,"3,775,578",[6],"520,586","1,048,252","1,474,463","2,357,953","3,212,299"
    1994,"3,961,146",[6],"546,700","1,103,084","1,552,205","2,481,074","3,371,352"
    1995,"4,244,607",[6],"619,610","1,222,723","1,704,513","2,689,820","3,627,542"
    1996,"4,590,527",[6],"736,545","1,393,805","1,909,149","2,952,637","3,944,383"
    1997,"5,023,457",[6],"872,826","1,597,107","2,151,401","3,267,600","4,327,992"
    1998,"5,469,211",[6],"1,010,245","1,796,647","2,393,716","3,589,600","4,721,430"
    1999,"5,909,329",[6],"1,152,820","2,011,763","2,652,835","3,927,308","5,126,164"
    2000,"6,423,977",[6],"1,336,773","2,267,403","2,955,386","4,313,786","5,589,755"
    2001,"6,241,036","505,752","1,094,296","1,996,492","2,690,589","4,071,034","5,379,286"
    2002,"6,113,778","431,644","985,781","1,867,787","2,553,475","3,935,504","5,244,029"
    2003,"6,287,586","476,041","1,054,567","1,960,676","2,663,470","4,078,227","5,407,851"
    2004,"6,875,123","628,522","1,306,417","2,299,595","3,049,275","4,546,401","5,952,781"
    2005,"7,507,958","799,403","1,591,711","2,683,934","3,487,010","5,069,455","6,544,824"
    2006,"8,122,040","911,054","1,791,886","2,977,714","3,843,144","5,535,830","7,105,599"
    2007,"8,798,500","1,049,358","2,008,259","3,294,542","4,227,839","6,045,354","7,720,213"
    2008,"8,426,625","839,371","1,685,472","2,926,701","3,856,462","5,678,179","7,352,111"
    2009,"7,825,389","610,241","1,324,572","2,482,490","3,379,731","5,149,871","6,770,174"
# Total income tax (millions of dollars)
"Tax Year","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent"
    1986,"366,979",[6],"94,491","156,240","200,703","278,976","343,289"
    1987,"369,046",[6],"91,559","159,642","205,230","283,857","346,655"
    1988,"412,761",[6],"113,841","188,303","236,411","321,297","389,145"
    1989,"432,838",[6],"109,259","190,188","241,458","334,258","407,599"
    1990,"447,061",[6],"112,338","195,088","247,514","344,340","421,075"
    1991,"448,349",[6],"111,267","194,480","250,282","346,511","423,759"
    1992,"476,163",[6],"131,156","218,479","276,213","373,700","452,070"
    1993,"502,720",[6],"145,836","238,083","297,808","398,516","478,563"
    1994,"534,754",[6],"154,337","254,106","317,902","425,402","509,256"
    1995,"588,331",[6],"178,035","287,741","357,402","472,808","561,225"
    1996,"658,124",[6],"212,626","335,433","411,404","535,164","629,684"
    1997,"727,303",[6],"241,239","377,241","459,639","594,007","696,161"
    1998,"788,452",[6],"274,009","424,506","512,836","651,964","755,240"
    1999,"877,292",[6],"317,419","486,464","583,002","732,890","842,168"
    2000,"980,521",[6],"366,929","553,670","660,150","823,706","942,179"
    2001,"887,882","142,616","300,898","472,823","576,163","736,053","852,642"
    2002,"796,862","122,975","268,608","428,680","523,812","668,558","768,963"
    2003,"747,939","117,275","256,340","406,597","492,452","627,380","722,027"
    2004,"831,890","145,118","306,902","475,224","567,273","705,915","804,471"
    2005,"934,703","180,008","368,132","557,759","657,085","803,772","906,028"
    2006,"1,023,739","200,281","408,369","615,680","724,740","883,153","993,176"
    2007,"1,115,504","225,239","450,926","676,293","794,432","965,875","1,083,243"
    2008,"1,031,512","190,498","392,149","605,718","721,421","890,614","1,003,639"
    2009,"865,863","148,143","318,043","507,907","610,156","755,903","846,352"
# Average tax rate (percentage)
"Tax Year","Top 0.1 percent","Top 1 percent","Top 5 percent","Top 10 percent","Top 25 percent"
    1986,14.54,[6],33.13,25.68,22.64,18.72,16.32
